sampleDate,sampleID,siteID,siteName,reportDate,covN1_nPMMoV_meanNr,covN1_nPMMoV_sdNr,covN2_nPMMoV_meanNr,covN2_nPMMoV_sdNr,nPPMoV_Ct_mean,qualityFlag,testB117,detectB117,fractionB117,fractionB117_stdev,test_delta,detect_delta,fraction_delta,fraction_delta_stdev,testC2811T,detectC2811T,fractionC2811T,fractionC2811T_stdev,InfA_copies_per_pep_copies_avg,InfB_copies_per_pep_copies_avg,RSV_copies_per_pep_copies_avg,MPOX_copies_per_pep_copies_avg
2020-04-08,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000260146,9.52E-05,0.000126989,4.36E-05,27.35,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000153743,6.22E-05,1.99E-05,4.72E-06,26.3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-19,NA,Ottawa-1,Ottawa-ROPEC,NA,3.90E-05,1.44E-05,2.06E-05,1.00E-05,27.43,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-02,NA,Ottawa-1,Ottawa-ROPEC,NA,5.28E-05,2.23E-05,4.46E-05,1.27E-05,28.19,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-10,NA,Ottawa-1,Ottawa-ROPEC,NA,6.78E-06,2.40E-07,3.31E-05,2.01E-05,26.35,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-16,NA,Ottawa-1,Ottawa-ROPEC,NA,2.64E-05,4.21E-06,2.31E-05,7.55E-06,27.74,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-17,NA,Ottawa-1,Ottawa-ROPEC,NA,3.88E-05,1.76E-05,2.05E-05,6.57E-06,27.85,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-19,NA,Ottawa-1,Ottawa-ROPEC,NA,2.07E-05,7.05E-06,1.99E-05,4.61E-06,27.58,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-21,NA,Ottawa-1,Ottawa-ROPEC,NA,5.93E-05,3.71E-05,1.56E-05,1.39E-05,27.08,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-23,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000286312,0.000181653,4.03E-05,2.06E-06,28.28,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-26,NA,Ottawa-1,Ottawa-ROPEC,NA,6.18E-05,1.79E-05,4.00E-05,NA,28.28,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-30,NA,Ottawa-1,Ottawa-ROPEC,NA,5.51E-05,NA,4.61E-05,NA,28.57,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-07,NA,Ottawa-1,Ottawa-ROPEC,NA,4.39E-05,1.87E-07,0,NA,26.02,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-09,NA,Ottawa-1,Ottawa-ROPEC,NA,9.57E-06,2.97E-06,0,NA,24.58,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-12,NA,Ottawa-1,Ottawa-ROPEC,NA,5.89E-05,1.56E-05,6.44E-05,2.08E-05,26.77,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-13,NA,Ottawa-1,Ottawa-ROPEC,NA,1.46E-05,2.97E-06,0,NA,25.74,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-15,NA,Ottawa-1,Ottawa-ROPEC,NA,8.13E-05,3.31E-05,6.10E-05,NA,26.17,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-17,NA,Ottawa-1,Ottawa-ROPEC,NA,0.00026466,9.46E-05,0.000298012,0.000105776,28.17,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-19,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000264111,9.00E-05,0.000354279,3.99E-05,28.27,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-21,NA,Ottawa-1,Ottawa-ROPEC,NA,8.56E-05,NA,3.40E-05,1.21E-05,26.74,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-23,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000140538,4.26E-05,0.000220699,5.64E-05,27.43,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-25,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000237048,3.23E-05,9.30E-05,4.16E-05,27.76,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-29,NA,Ottawa-1,Ottawa-ROPEC,NA,0.00013717,3.45E-05,8.79E-05,3.36E-05,26.84,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-31,NA,Ottawa-1,Ottawa-ROPEC,NA,6.98E-05,1.78E-05,0.000107351,1.21E-06,26.6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-04,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000121034,2.74E-05,0.000210386,1.51E-05,27.5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-08,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000174476,4.60E-05,0.00013377,7.20E-05,28.41,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-10,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000134878,3.54E-05,0.000112088,7.71E-05,27.22,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-12,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000216488,1.87E-05,6.21E-05,1.34E-05,27.24,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-14,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000128071,5.74E-05,5.27E-05,NA,26.66,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-16,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000159132,4.51E-05,0.00016624,9.96E-05,27.94,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-18,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000280783,9.70E-05,0.0002276,6.54E-05,27.33,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-22,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000122617,5.59E-05,0.000169617,2.91E-05,27.24,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-24,NA,Ottawa-1,Ottawa-ROPEC,NA,0.00021211,7.91E-06,0.000181418,9.34E-05,27.71,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-26,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000324533,6.32E-05,0.000201064,1.65E-05,26.76,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-28,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000366478,0.000204441,0.000218296,3.39E-05,26.85,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-30,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000228317,8.54E-05,0.000261743,1.84E-05,27.06,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-01,NA,Ottawa-1,Ottawa-ROPEC,NA,0.000128671,1.62E-05,7.71E-05,4.25E-05,25.62,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
