sampleID,labID,analysisDate,fractionAnalyzed,type,value,unit,aggregation,qualityFlag,accessToPublic,accessToAllOrg,accessToSelf,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails
NA,Ottawa-1,2020-04-08,solid,covN1,0.000260146,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-08,solid,covN1,9.52E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-08,solid,covN2,0.000126989,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-08,solid,covN2,4.36E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-08,solid,nPPMoV,27.35,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-24,solid,covN1,0.000153743,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-24,solid,covN1,6.22E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-24,solid,covN2,1.99E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-24,solid,covN2,4.72E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-04-24,solid,nPPMoV,26.3,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-05-19,solid,covN1,3.90E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-05-19,solid,covN1,1.44E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-05-19,solid,covN2,2.06E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-05-19,solid,covN2,1.00E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-05-19,solid,nPPMoV,27.43,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-02,solid,covN1,5.28E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-06-02,solid,covN1,2.23E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
